"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2024","1,045.95","1,052.14","1,055.44","1,044.77","","-0.51%"
"04/29/2024","1,051.33","1,041.42","1,051.99","1,041.26","","0.94%"
"04/26/2024","1,041.52","1,030.23","1,041.52","1,030.23","","1.26%"
"04/25/2024","1,028.61","1,033.06","1,033.06","1,026.27","","-0.59%"
"04/24/2024","1,034.69","1,022.26","1,036.59","1,022.26","","1.51%"
"04/23/2024","1,019.34","1,012.30","1,020.86","1,012.30","","0.74%"
"04/22/2024","1,011.84","1,005.97","1,012.40","1,003.80","","0.76%"
"04/19/2024","1,004.17","1,015.99","1,015.99","995.16","","-1.42%"
"04/18/2024","1,018.59","1,014.12","1,023.17","1,012.93","","0.61%"
"04/17/2024","1,012.46","1,010.29","1,014.24","1,009.77","","0.26%"
"04/16/2024","1,009.84","1,029.41","1,029.41","1,009.02","","-2.03%"
"04/15/2024","1,030.74","1,040.19","1,040.19","1,029.33","","-1.05%"
"04/12/2024","1,041.70","1,054.41","1,054.69","1,040.97","","-1.27%"
"04/11/2024","1,055.09","1,053.59","1,056.59","1,050.54","","-0.26%"
"04/10/2024","1,057.89","1,056.34","1,062.76","1,054.16","","0.24%"
"04/09/2024","1,055.37","1,049.93","1,057.44","1,049.93","","0.59%"
"04/08/2024","1,049.16","1,045.55","1,049.91","1,044.76","","0.33%"
"04/05/2024","1,045.71","1,047.34","1,047.34","1,041.05","","-0.29%"
"04/04/2024","1,048.76","1,045.72","1,051.24","1,045.48","","0.53%"
"04/03/2024","1,043.23","1,049.59","1,049.59","1,041.49","","-0.64%"
"04/02/2024","1,049.93","1,041.40","1,050.50","1,040.57","","0.75%"
"04/01/2024","1,042.07","1,043.28","1,044.53","1,040.72","","-0.11%"
"03/29/2024","1,043.20","1,039.81","1,043.97","1,039.40","","0.27%"
"03/28/2024","1,040.39","1,036.26","1,043.11","1,034.22","","0.35%"
"03/27/2024","1,036.73","1,039.26","1,040.31","1,035.01","","-0.32%"
"03/26/2024","1,040.07","1,037.79","1,043.18","1,034.57","","0.38%"
"03/25/2024","1,036.13","1,038.14","1,040.75","1,035.71","","-0.31%"
"03/22/2024","1,039.32","1,046.40","1,048.03","1,034.49","","-0.86%"
"03/21/2024","1,048.34","1,036.35","1,050.53","1,036.35","","1.57%"
"03/20/2024","1,032.12","1,028.59","1,034.52","1,027.65","","0.42%"
"03/19/2024","1,027.78","1,037.35","1,037.35","1,027.34","","-0.99%"
